species.Diana	species.Platnick	comment.Theo	comment.Diana	Faname
Typhocrestes digitatus	Typhochrestus digitatus			Typhochrestus.digitatus..O..P..Cambridge.1872.
Walckenaeria acuminata	Walckenaeria acuminata			Walckenaeria.acuminata.Blackwall.1833
Walckenaeria antica	Walckenaeria antica			Walckenaeria.antica..Wider.1834.
Walckenaeria atrotibialis	Walckenaeria atrotibialis			Walckenaeria.atrotibialis..O..P..Cambridge.1878.
Walckenaeria capito	Walckenaeria capito			Walckenaeria.capito..Westring.1861.
Walckenaeria cornicularia	Walckenaeria corniculans		will check with data owner	Walckenaeria.corniculans..O..P..Cambridge.1875.
Walckenaeria furcillata	Walckenaeria furcillata			Walckenaeria.furcillata..Menge.1869.
Walckenaeria monoceros	Walckenaeria monoceros			Walckenaeria.monoceros..Wider.1834.
Walckenaeria nudipalpis	Walckenaeria nudipalpis			Walckenaeria.nudipalpis..Westring.1851.
Walckenaeria unicornis	Walckenaeria unicornis			Walckenaeria.unicornis.O..P..Cambridge.1861
Xerolycosa miniata	Xerolycosa miniata			Xerolycosa.miniata..C.L..Koch.1834.
Xerolycosa minutus	Xerolycosa miniata			Xerolycosa.miniata..C.L..Koch.1834.
Walckenaeria stylifrons	Walckenaeria stylifrons			Walckenaeria.stylifrons..O..P..Cambridge.1875.
Xysticus cristatus	Xysticus cristatus			Xysticus.cristatus..Clerck.1757.
Xysticus erraticus	Xysticus erraticus			Xysticus.erraticus..Blackwall.1834.
Xysticus kochi	Xysticus kochi			Xysticus.kochi.Thorell.1872
Zelotes electus	Zelotes electus			Zelotes.electus..C.L..Koch.1839.
Zelotes longipes	Zelotes longipes			Zelotes.longipes..L..Koch.1866.
Zora spinimana	Zora spinimana			Zora.spinimana..Sundevall.1833.
Zygiella x-notata	Zygiella x-notata			Zygiella.x.notata..Clerck.1757.
